run_id	index_2d	index_1d	mirror_pos	lockin1	kerr_rotation	file_index	probe_delay	wavelength
0	12.0	56	80.0	0.001081	0.05844	1	100.0	836.0
0	12.0	57	85.0	0.001076	0.05122	1	100.0	836.0
0	12.0	58	90.0	0.001062	0.03126	1	100.0	836.0
0	12.0	59	95.0	0.001116	0.03112	1	100.0	836.0
0	12.0	60	100.0	0.000997	0.0217	1	100.0	836.0
0	12.0	61	105.0	0.001016	0.0171	1	100.0	836.0
0	12.0	62	110.0	0.000907	0.01464	1	100.0	836.0
0	12.0	63	115.0	0.000969	0.01078	1	100.0	836.0
0	12.0	64	120.0	0.00103	0.00886	1	100.0	836.0
0	12.0	65	125.0	0.001116	0.0072	1	100.0	836.0
0	12.0	66	130.0	0.001253	0.00702	1	100.0	836.0
0	12.0	67	135.0	0.001505	0.00716	1	100.0	836.0
0	12.0	68	140.0	0.001798	0.00734	1	100.0	836.0
0	12.0	69	145.0	0.002212	0.00744	1	100.0	836.0
0	12.0	70	150.0	0.002613	0.0085	1	100.0	836.0
0	12.0	71	155.0	0.003116	0.00908	1	100.0	836.0
0	12.0	72	160.0	0.003552	0.00912	1	100.0	836.0
0	12.0	73	165.0	0.00407	0.00982	1	100.0	836.0
0	12.0	74	170.0	0.0045	0.0095	1	100.0	836.0
0	12.0	75	175.0	0.004897	0.00984	1	100.0	836.0
0	12.0	76	180.0	0.005074	0.01056	1	100.0	836.0
0	12.0	77	185.0	0.005463	0.01084	1	100.0	836.0
0	12.0	78	190.0	0.005674	0.0101	1	100.0	836.0
0	12.0	79	195.0	0.0059	0.00978	1	100.0	836.0
0	12.0	80	200.0	0.006478	0.0102	1	100.0	836.0
